layer,acc_sum,acc_avg,n,family,variant,model,dataset,max_layer,rel_depth
25,0.7127462686567164,0.7011641791044776,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.8928571428571429
26,0.7411641791044776,0.7261044776119403,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.9285714285714286
27,0.7556567164179104,0.7284925373134328,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,0.9642857142857143
28,0.796134328358209,0.7693283582089553,67000,Llama-3.2-3B,base,Llama-3.2-3B,blimp,28,1.0
1,0.27914951989026066,0.09419295839048926,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.03571428571428571
2,0.283493369913123,0.22359396433470508,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.07142857142857142
3,0.29538180155464105,0.23616826703246457,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.10714285714285714
4,0.3040695016003658,0.24005486968449932,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.14285714285714285
5,0.3198445358939186,0.26177411979881116,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.17857142857142858
6,0.33676268861454045,0.2764060356652949,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.21428571428571427
7,0.3404206675811614,0.2764060356652949,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.25
8,0.3340192043895748,0.2782350251486054,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.2857142857142857
9,0.33630544124371287,0.2862368541380887,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.32142857142857145
10,0.3376771833561957,0.2780064014631916,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.35714285714285715
11,0.34705075445816186,0.2937814357567444,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.39285714285714285
12,0.3582533150434385,0.30772748056698673,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.42857142857142855
13,0.36648376771833563,0.31870141746684955,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.4642857142857143
14,0.370827617741198,0.3248742569730224,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.5
15,0.3893461362597165,0.3351623228166438,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.5357142857142857
16,0.3950617283950617,0.3452217649748514,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.5714285714285714
17,0.4071787837219936,0.3609967992684042,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.6071428571428571
18,0.4154092363968907,0.3616826703246456,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.6428571428571429
19,0.42112482853223593,0.3715134887974394,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.6785714285714286
20,0.438957475994513,0.39300411522633744,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.7142857142857143
21,0.4586191129401006,0.4151806127114769,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.75
22,0.46982167352537724,0.4254686785550983,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.7857142857142857
23,0.4773662551440329,0.42844078646547784,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.8214285714285714
24,0.48399634202103337,0.43232738911751256,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.8571428571428571
25,0.4945130315500686,0.43232738911751256,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.8928571428571429
26,0.4942844078646548,0.4382716049382716,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.9285714285714286
27,0.4874256973022405,0.4506172839506173,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,0.9642857142857143
28,0.5256058527663466,0.49817101051668955,4374,Llama-3.2-3B,base,Llama-3.2-3B,ewok,28,1.0
1,0.1371492537313433,0.08340298507462687,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.03571428571428571
2,0.15297014925373134,0.08970149253731342,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.07142857142857142
3,0.18459701492537314,0.1342089552238806,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.10714285714285714
4,0.2023134328358209,0.15217910447761193,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.14285714285714285
5,0.2346268656716418,0.18947761194029852,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.17857142857142858
6,0.24450746268656717,0.2026716417910448,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.21428571428571427
7,0.2775671641791045,0.23961194029850744,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.25
8,0.29679104477611945,0.2605373134328358,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.2857142857142857
9,0.29247761194029853,0.2593283582089552,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.32142857142857145
10,0.3183432835820896,0.2855074626865672,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.35714285714285715
11,0.32971641791044776,0.3012686567164179,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.39285714285714285
12,0.3621194029850746,0.33359701492537314,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.42857142857142855
13,0.37698507462686565,0.3492537313432836,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.4642857142857143
14,0.39132835820895523,0.36349253731343284,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.5
15,0.4470597014925373,0.4230149253731343,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.5357142857142857
16,0.4657761194029851,0.4402089552238806,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.5714285714285714
17,0.49864179104477613,0.4802238805970149,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.6071428571428571
18,0.5223582089552239,0.5044328358208955,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.6428571428571429
19,0.5594029850746268,0.5464776119402984,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.6785714285714286
20,0.5959850746268657,0.5862686567164179,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.7142857142857143
21,0.6326567164179104,0.624910447761194,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.75
22,0.655641791044776,0.6489253731343284,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.7857142857142857
23,0.6736417910447762,0.6698507462686567,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.8214285714285714
24,0.6923432835820895,0.6866268656716418,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.8571428571428571
25,0.7035970149253731,0.6968507462686567,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.8928571428571429
26,0.7228805970149254,0.7119402985074628,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.9285714285714286
27,0.7184328358208955,0.7079552238805971,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,0.9642857142857143
28,0.7212686567164179,0.6967462686567164,67000,Llama-3.2-3B,it,Llama-3.2-3B-it,blimp,28,1.0
1,0.26909007773205307,0.08733424782807499,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.03571428571428571
2,0.2782350251486054,0.10219478737997256,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.07142857142857142
3,0.2937814357567444,0.12551440329218108,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.10714285714285714
4,0.29995427526291724,0.11522633744855967,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.14285714285714285
5,0.3068129858253315,0.1442615454961134,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.17857142857142858
6,0.31550068587105623,0.1700960219478738,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.21428571428571427
7,0.3255601280292638,0.1904435299497028,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.25
8,0.34682213077274804,0.2144490169181527,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.2857142857142857
9,0.3333333333333333,0.19250114311842706,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.32142857142857145
10,0.33058984910836764,0.20027434842249658,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.35714285714285715
11,0.3449931412894376,0.2144490169181527,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.39285714285714285
12,0.3527663465935071,0.24645633287608595,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.42857142857142855
13,0.3575674439871971,0.2526291723822588,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.4642857142857143
14,0.3559670781893004,0.2576588934613626,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.5
15,0.38843164151806125,0.2908093278463649,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.5357142857142857
16,0.40900777320530407,0.3065843621399177,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.5714285714285714
17,0.41335162322816643,0.32030178326474623,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.6071428571428571
18,0.42203932327389115,0.35253772290809327,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.6428571428571429
19,0.42363968907178784,0.3449931412894376,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.6785714285714286
20,0.45267489711934156,0.3866026520347508,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.7142857142857143
21,0.4631915866483768,0.40032007315957935,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.75
22,0.47005029721079106,0.4101508916323731,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.7857142857142857
23,0.48811156835848196,0.42432556012802924,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.8214285714285714
24,0.49405578417924095,0.4350708733424783,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.8571428571428571
25,0.4961133973479652,0.45016003657978965,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.8928571428571429
26,0.5064014631915866,0.4531321444901692,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.9285714285714286
27,0.4990855052583448,0.44787379972565156,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,0.9642857142857143
28,0.5080018289894833,0.4691358024691358,4374,Llama-3.2-3B,it,Llama-3.2-3B-it,ewok,28,1.0
1,0.10455223880597014,0.029,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.03125
2,0.156,0.1354776119402985,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.0625
3,0.16728358208955224,0.1455223880597015,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.09375
4,0.17638805970149254,0.15623880597014925,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.125
5,0.18680597014925374,0.164955223880597,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.15625
6,0.18838805970149253,0.16983582089552238,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.1875
7,0.19986567164179103,0.1806268656716418,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.21875
8,0.2175671641791045,0.1958358208955224,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.25
9,0.21923880597014925,0.196910447761194,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.28125
10,0.2294776119402985,0.20355223880597015,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.3125
11,0.22711940298507463,0.20405970149253733,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.34375
12,0.22717910447761194,0.2038955223880597,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.375
13,0.24758208955223882,0.22113432835820895,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.40625
14,0.26040298507462684,0.23497014925373136,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.4375
15,0.27071641791044776,0.24571641791044777,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.46875
16,0.2951940298507463,0.2685522388059701,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.5
17,0.334089552238806,0.30549253731343284,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.53125
18,0.3808805970149253,0.3536716417910448,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.5625
19,0.40514925373134325,0.378865671641791,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.59375
20,0.4462686567164179,0.42110447761194025,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.625
